HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
疡,疡,0,yáng,疮、痈、疽、疖等的通称，创伤。#溃烂：溃～。脓～。,ulcers#sores#infection,0,1
渎,氵卖,0,dú#dòu,水沟，小渠，亦泛指河川：沟～。四～。#轻慢，对人不恭敬：亵～。～职。烦～。,ditch#sluice#gutter,0,2
汲,氵及,0,jí,从井里打水：～水。～引。#〔～～〕形容心情急切、努力追求，如“～～于富贵”。#姓。,draw water from well#imbibe,0,2
嬉,女喜,0,xī,游戏，玩耍：～戏。～闹。～笑。～皮笑脸。,enjoy#play#amuse oneself,0,2
脓,月农,0,nóng,疮口流出来的黄白色汁液，是死亡的白血球、细菌及脂肪等的混合物：～包。～胸。～肿。,pus,0,2
骡,马累,0,luó,〔～子〕哺乳动物，是由驴和马交配而生的，挽力大而能持久，多作挽、驮用，一般无生殖能力。,mule,0,2
穗,禾惠,0,suì,禾本植物聚生在茎的顶端的花和果实：麦～。～轴。～状花序。#用丝线、布条或纸条等扎成的、挂起来往下垂的装饰品：灯笼～儿。#中国广东省广州市的别称。,ear of grain#tassel#Guangzhou,0,2
槛,木监,0,jiàn#kǎn,栏杆：“阁中帝子今何在？～外长江空自流”。#圈兽类的栅栏：～车。～阱。～圈。,threshold#door-sill,0,2
拎,扌令,0,līn,提：～水。～提包。,to haul#to lift#to take,0,2
巳,巳,10,sì,地支的第六位，属蛇。#用于计时：～时。,6th terrestrial branch,0,1
邢,开阝,0,xíng,姓。,surname#state in today's Hebei,0,2
廿,廿,7,niàn,二十：～四史。,twenty#twentieth,0,1
搀,扌免丶丶,0,chān,在旁边扶助：～扶。～着他走。#混合：～杂。～和。,give helping hand,0,4
曙,日署,0,shǔ,天刚亮：～色。～光。,bright#light of rising sun,0,2
樵,木焦,0,qiáo,柴，散木：～苏。采～。#打柴：～夫。～客。#古同“谯”，谯楼。,woodcutter#firewood,0,2
隅,阝禺,0,yú,角落：城～。墙～。屋～。～隙。向～而泣。#〔～中〕将近中午的时候。#靠边的地方：海～。,corner#nook#remote place,0,2
筛,竹师,0,shāi,用竹子或金属等做成的一种有孔的器具，可以把细东西漏下去，粗的留下，称“筛子”。#用筛子过东西：～米。～析。～选。#斟酒，热酒：～酒。#敲：～锣。,sieve#filter#screen,0,2
谒,讠曷,2,yè,拜见：～见。拜～。进～。#说明，陈述，告发：请～其故。#请求：～归。～医。#名帖：“使者惧而失～，跪拾～”。#掌管晋见的近待。,visit#pay respects,0,2
倭,亻委,0,wō#wēi,古代对日作战时称日本为倭：～奴。～寇。～刀。,dwarf#dwarfish#short,0,2
痹,疒畀,0,bì,〔～症〕中医指由风、寒、湿等引起的肢体疼痛或麻木的病。#〔麻～〕见“麻”。,paralysis#numbness,0,2
猖,犭昌,0,chāng,纵恣狂妄：～狂。～披。～獗。～勃。,mad#wild#reckless,0,2
佯,亻羊,0,yáng,假装：～装。～作。～狂。～称。～攻。～言。～死。,pretend#feign#false,0,2
肛,月工,0,gāng,直肠末端及口儿：～门。～瘘。脱～。,anus,0,2
奚,爫幺大,4,xī,古代指被役使的人：“～三百人”。～奴。#文言疑问代词，相当于“胡”、“何”：～不去也？子将～先？水～自至？#姓。,where? what? how? why?#servant,0,3
甭,不用,0,béng,不用：你～说。你～管。～惦记他。,there is no need,0,2
抨,扌平,0,pēng,弹劾：～击。～弹。,impeach#censure#attack,0,2
蛾,虫我,0,é#yǐ,昆虫，与蝴蝶相似，体肥大，触角细长如丝，翅面灰白，静止时，翅左右平放，常在夜间活动，有趋光性：～子。～眉。～扬。～绿。飞～扑火。,moth,0,2
唠,口劳,0,lào#láo,方言，说话，闲谈：有话慢慢～。～扯。～嗑。,chat#jaw#gossip,0,2
荧,艹冖火,0,yíng,微弱的光亮：～然。～烛。～～。#眼光迷乱，迷惑：～惑。#物理学上称某些物质受光或其他射线照射时所发出的可见光：～光。#古同“萤”。,shine#shimmer#shining,0,3
嵩,山高,0,sōng,〔～山〕山名，在中国河南省。#高：～峦。～呼。,high#lofty#one of the 5 peaks,0,2
漱,氵束欠,0,shù,含水荡洗口腔：～口。洗～。盥～。,gargle#rinse#wash,0,3
酋,丷酉,9,qiú,长官：～长。#首领：匪～。敌～。#酒熟。#古代对造酒的女奴的称谓。,chief of tribe#chieftain,0,2
攘,扌襄,0,rǎng,侵夺，偷窃：～羊。～夺。～窃。～善。#推，排斥：～斥。～除。～夷。#烦乱：～～。扰～。#捋：～袂。～臂。,seize#take by force#repel,0,2
诘,讠吉,0,jié#jí,追问：反～。盘～。～究。#谴责，问罪：～责。～让。～难。#〔～朝〕早晨，亦指次日早晨。,question#interrogate,0,2
篡,竹目大厶,0,cuàn,封建时代特指臣子夺取君位：“故得肆其奸慝，以成～盗之祸”。～位。#泛指夺取：“大长公主执囚青，欲杀之，其友公孙敖与壮士往～之”。～夺。～党。～国。～权。,usurp,0,4
睿,一丨冂一八人目,0,ruì,深明，通达：～智。～哲。#古代颂扬帝王用语：～旨。～览。,shrewd#astute#clever,0,7
噩,王口口口口,1,è,惊人的，不祥的：～音。～耗。～梦。,bad#ill-omened#unlucky,0,5
怅,忄长,0,chàng,失意，不痛快：～然若失。～恍。～望。～惘。～惋。～～。惆～。,disappointed#dissatisfied,0,2
盎,央皿,0,àng,古代的一种盆，腹大口小。#盛，充盈：春意～然。诗意～然。,cup#pot#bowl,0,2
徙,彳歨,2,xǐ,迁移：～居。迁～。流～。#古代称流放的刑罚：～边。,move one's abode#shift#migrate,0,2
鞅,革央,0,yāng#yàng,古代用马拉车时套在马颈上的皮套子。,leather strap over horse's neck,0,2
漓,氵离,0,lí,〔～江〕水名，在中国广西壮族自治区。亦称“漓水”。,water dripping,0,2
祟,出示,0,suì,迷信说法指鬼神给人带来的灾祸，借指不正当的行动：作～。鬼鬼～～。邪～。,evil spirit#evil influence,0,2
睫,目疌,0,jié,眼睑边缘的细毛：～毛。目不交～。迫在眉～。#眨眼：“矢来注眸子而眶不～。”,eyelashes,0,2
攸,亻丨攵,4,yōu,所：性命～关。#疾走的样子：～然而逝。#水流的样子：河水～～。#文言语助词，无义：“四方～同”。,distant#far#adverbial prefix,0,3
翎,令羽,0,líng,鸟翅和尾上的长而硬的羽毛：雁～。野鸡～。孔雀～。～毛。～扇。～子。,feather#plume#wing,0,2
呛,口仓,0,qiāng#qiàng,水或食物进入气管引起不适或咳嗽而突然喷出。#咳嗽。#鸟食。#愚蠢的样子：～哼。,choke by smoke#irritates nose,0,2
筐,竹匡,0,kuāng,竹子或柳条等编成的盛东西的器具：～子。土～。抬～。,bamboo basket or chest,0,2
堑,斩土,0,qiàn,防御用的壕沟，护城河：～壕。天～。#陷坑，亦喻挫折：吃一～，长一智。#挖掘：“环而～之，及泉”。,moat#trench#pit,0,2
檀,木亶,0,tán,落叶乔木，木质坚硬，用于制家具、乐器。#浅绛色：～口。#〔～香〕常绿乔木，产在热带及亚热带，木质坚硬，有香气，可制器物及香料，又可入药。,sandalwood#hardwood#surname,0,2
寅,宀一由八,2,yín,地支的第三位，属虎：～吃卯粮。#用于计时：～时。#敬：～饯。～畏。,to respect#reverence,0,4
磊,石石石,1,lěi,〔～落〕心地光明坦白，如“光明～～”，“～～的胸怀”。#石头多。,pile of rocks or stones#great,0,3
驭,马又,0,yù,驾驶马车：驾～。～手。#统率，控制：“以八柄诏王～群臣”。,drive#ride#manage,0,2
惘,忄罔,0,wǎng,不得意：怅～。～～。迷～。～然若失。,dejected#discouraged,0,2
吠,口犬,0,fèi,狗叫：～叫。狂～。蜀犬～日。,bark,0,2
驮,马大,0,tuó,用背负载：～运。～着两袋米。,carry on back,0,2
瑙,王巛囟,0,nǎo,〔玛～〕见“玛”。,agate#cornelian,0,3
炬,火巨,0,jù,火把：火～。目光如～。付之一～。,torch,0,2
痉,疒ス工,0,jìng,〔～挛〕肌肉收缩，手脚抽搐的现象。俗称“抽筋”。,convulsions#fits,0,3
曝,日暴,0,pù#bào,晒：～晒。一～十寒。,sun#air in sun,0,2
恺,忄岂,0,kǎi,快乐，和乐：～悌。,enjoy#be contented#joyful,0,2
胺,月安,0,àn,氨ＮＨ3分子中部分或全部氢原子被烃基取代后而成的有机化合物，胺类大都具有碱性，能与酸结合而成盐，是制作合成染料、药物等的原料。,amine,0,2
萤,艹冖虫,0,yíng,〔～火虫〕昆虫，黄褐色，尾部有发光器。#〔～石〕矿物。具有玻璃光泽，受光或受热后常能变色，亦称“氟石”。,glow-worm#luminous insect,0,3
敕,束攵,2,chì,帝王的诏书、命令：～命。～书。～封。奉～。宣～。#告诫：申～。戒～。#古同“饬”，整顿。,an imperial order or decree,0,2
筝,竹争,0,zhēng,弦乐器，木制长形。古代十三或十六根弦，现为二十五根弦。,kite,0,2
幡,巾番,0,fān,〔～然〕同“翻然”。#用竹竿等挑起来直着挂的长条形旗子。,pennant#banner#streamer,0,2
霹,雨辟,0,pī,〔～雳〕响声极大的雷。#〔～雷〕即“霹雳”。,thunder#crashing thunder,0,2
竺,竹二,0,zhú#dǔ,〔天～〕印度的古称。#姓。,India#bamboo#surname,0,2
烙,火各,0,lào#luò,用器物烫熨：～衣服。～印。～花。#把面食放在烧热的铛或锅上加热使熟：～饼。～锅贴。,brand#burn#branding iron,0,2
毗,田比,0,pí,接连：～连。～邻。#辅助：～佐。～益。～翼。#损坏，败坏：“人大喜邪～于阳，大怒邪～于阴”。,help#assist#connect,0,2
鸠,九鸟,0,jiū,鸟，鸠鸽科部分种类的统称：～形鹄面。～杖。#聚集：～合。～集。,pigeon#collect#assemble,0,2
埠,土阜,0,bù,停船的码头，靠近水的地方：～头。本～。外～。船～。#旧与外国通商的城市：开～。商～。,port city,0,2
蒜,艹祘,0,suàn,多年生草本植物，地下鳞茎分瓣，按皮色不同分为紫皮种和白皮种。味辣，有刺激性气味，可食用或供调味，亦可入药：～头。～苗。～黄。～毫。～薹。,garlic,0,2
阜,阜,1,fù,土山：高～。如山如～。#盛，多，大：物～民丰。民殷财～。,mound#abundant#ample,0,1
嘈,口曹,0,cáo,杂乱，杂声：～杂。～～。～嗷。,noisy,0,2
乒,丘丿,0,pīng,象声词。#指“乒乓球”：～坛。～赛。,used with pong for ping pong,0,2
帷,巾隹,0,wéi,围在四周的帐幕：～幕。～幔。～幄。～子。～帐。,tent#curtain#screen,0,2
啄,口豖,0,zhuó,鸟类用嘴叩击并夹住东西：～食。～木鸟。鸡～米。,to peck#(Cant.) to slander,0,2
鳌,敖鱼,0,áo,传说中海里的大龟或大鳖。,huge sea turtle,0,2
毡,毛占,0,zhān,用兽毛或化学纤维制成的片状物，可做防寒用品和工业上的垫衬材料：～子。～帽。～靴。～包。～裘。,felt#rug#carpet,0,2
阙,门屰欠,0,quē#què,古代用作“缺”字。空缺：尚付～～。有怀疑的事情暂时不下断语，留待查考：～疑。#过错：～失。#姓。,watch tower#palace,0,3
褥,衤辱,0,rù,睡觉时垫在身体下面的东西，用棉絮、兽皮或电热材料等制成：～子。～单。～疮。电～子。,mattress#cushion#bedding,0,2
搔,扌蚤,0,sāo,挠，用手指甲轻刮：～痒。～头。隔靴～痒。#古同“骚”，扰乱。,to scratch,0,2
笋,竹尹,0,sǔn,竹子初从土里长出的嫩茎、芽，又称“竹笋”，可以做菜吃。可食用者主要有“毛竹笋”、“慈竹笋”、“麻竹笋”等。#竹子的青皮：～席。#古同“榫”。,bamboo shoots,0,2
冕,冃免,0,miǎn,中国古代帝王及地位在大夫以上的官员们戴的礼帽，后专指帝王的皇冠：冠～。加～。卫～。,crown#ceremonial cap,0,2
狞,犭宁,0,níng,凶猛，样子凶恶：～视。～笑。狰～。,ferocious appearance#hideous,0,2
韶,音召,0,sháo,古代乐曲名。#美：～光。～华。～景。～秀。,beautiful,0,2
骼,骨各,0,gé,骨头：骨～。,bone#skeleton#corpse,0,2
蔼,艹谒,0,ǎi,和气，和善：和～。～然。#果实、树木繁茂的样子：幽～。～～。#古同“霭”，云气。,lush#affable#friendly,0,2
烹,亨灬,0,pēng,煮：～调。～饪。～茶。#一种做菜的方法，先用热油略炒之后，再加入液体调味品，迅速搅拌，随即盛出：～对虾。,boil#cook#quick fry,0,2
奄,大电,13,yǎn#yān,覆盖：～有天下。#忽然，突然：～弃。～忽。～然。#气息微弱：～～一息。,ere long#remain#tarry,0,2
嫖,女票,0,piáo#piāo,玩弄娼妓的堕落行为：～妓。～宿。～客。吃喝～赌。,patronize prostitutes#frequent,0,2
沐,氵木,1,mù,洗头发：～浴。栉风～雨。#润泽，或受润泽：～恩。#古代官员休假：～日。休～。#整治：助之～椁。#米汁。#姓。,bathe#cleanse#wash,0,2
噗,口菐,0,pū,象声词：～，他把火吹灭了。,burst,0,2
岑,山今,1,cén,小而高的山。#崖岸。#〔～寂〕寂静，寂寞。#〔～～〕形容烦闷。#姓。,steep#precipitous#peak,0,2
蛟,虫交,0,jiāo,古代传说中一种能发洪水的龙：～龙得水。#指鼍、鳄之类的动物。,scaly dragon with four legs,0,2
掳,扌虏,0,lǔ,抢取：～掠。～人勒赎。,capture#seize,0,2
咏,口永,0,yǒng,唱，声调有抑扬地念：～赞。歌～。吟～。～唱。#用诗词等来描述，抒发感情：～梅。～史。～怀。～叹。～叹调。#指诗词：佳～。,sing song or poem#hum#chant,0,2
弩,奴弓,0,nǔ,一种用机械力量射箭的弓，泛指弓：～弓。～机。～手。～箭。～炮。,cross-bow#bow#downward stroke,0,2
捻,扌念,0,niǎn#niē,用手指搓转：～麻绳。#搓成的条状物：灯～儿。,to twist or nip with the fingers,0,2
圃,囗甫,0,pǔ,种植菜蔬、花草、瓜果的园子：～田。菜～。花～。苗～。#指种植园圃的人：“吾不如老～”。,garden#cultivated field,0,2
孚,爫子,12,fú,信用。#为人所信服：深～众望。,have confidence,0,2
悴,忄卒,0,cuì,忧伤：“人力雕残，百姓愁～”。#衰弱，疲萎：憔～。～容。,suffer#haggard,0,2
诣,讠旨,0,yì,到，特指到尊长那里去：～阙。～前请教。#[造诣]学业或技艺所达到的程度：苦心孤～。,reach#achievement,0,2
呱,口瓜,0,guā#gū#guǎ,〔～～〕①声音响亮；②形容好，如“～～叫”，“顶～～”。,wail#crying of child#swear at,0,2
祁,礻阝,0,qí,盛大：～寒。#〔～～〕①舒缓的样子；②众多的样子。#姓。,pray#numerous#ample,0,2
捶,扌垂,0,chuí,敲打：～衣。～鼓。～打。～拓。～挞。～楚。～胸顿足。,strike with stick#lash#beat,0,2
钠,钅内,0,nà,一种金属元素，质地软，能使水分释放出氢。它的化合物很多，如食盐、智利硝石、纯碱等。钠也是人体肌肉和神经组织中的主要成分之一。,sodium#natrium#sharpen wood,0,2
袄,衤夭,0,ǎo,有衬里的上衣：夹～。棉～。皮～。,outer garments#coat#jacket,0,2
澎,氵彭,0,péng,〔～湃〕①形容波涛撞击，如“奔腾～～”；②喻声势浩大，气势雄伟，如“热情～～的诗篇”。#溅：～了一身水。,splatter,0,2
氮,气炎,0,dàn,一种气体元素，无色、无臭、无味，化学性质不活泼。是植物营养的重要成分之一：～肥。,xenon,0,2
恪,忄各,0,kè,恭敬，谨慎：～遵。～守。～慎。,respectful#reverent,0,2
雏,刍隹,0,chú,幼小的鸟，生下不久的：～鸡。～燕。～儿。～凤。～形。,chick#fledging#infant,0,2
撮,扌最,0,cuō#zuǒ,聚起，多指用簸箕状的器具铲起东西：～土。～合。#取，摘取：～要。#用手指捏取细碎的东西：～药。#量词：一～米。#撮东西用的器具：～子。～箕。,little bit#small amount#pinch,0,2
堰,土匽,0,yàn,挡水的堤坝：堤～。～塘。都江～。,dam#embankment#dike,0,2
鹦,婴鸟,0,yīng,〔～鹉〕鸟，上嘴大，呈钩状，下嘴短小，羽毛有各种颜色，产于热带和亚热带，能学人讲话，如“～～学舌”。#〔～哥〕鹦鹉的通称。,parrot,0,2
晖,日军,0,huī,阳光，亦泛指光辉：～映。春～。朝～。斜～。,sunshine#light#bright,0,2
犀,尸丨丷八牛,3,xī,哺乳动物，形状略像牛，皮粗而厚，多皱纹。角生在鼻上，可做器物，亦可入药：～角。～照。灵～。#坚固：～舟。～利。,rhinoceros#sharp#well-tempered,0,5
腑,月府,0,fǔ,中医学将胃、胆、三焦、膀胱、大肠、小肠合称“六腑”，以别于“五脏”：脏～。肺～。,bowels#entrails,0,2
沽,氵古,0,gū,买：～酒。～名钓誉。#卖：待价而～。#天津市的别称。,buy and sell,0,2
橄,木敢,0,gǎn,〔～榄〕①常绿乔木，种子可榨油，树脂供药用。果实绿色，长圆形，亦称“青果”，可食，亦可入药。②常绿小乔木，欧美用它的枝叶作为和平的象征。亦称“齐墩果”。,olive,0,2
掐,扌臽,0,qiā,用指甲按或截断：～算。～花。#割断，截去：～头去尾。#用手的虎口及手指紧紧握住：一把～住。#量词，一只手或两只手指尖相对握着的数量：一～儿松枝。,hold#gather with hand#choke,0,2
亵,亵,0,xiè,轻慢，亲近而不庄重：～渎。～慢。～狎。～辱。～玩。#旧指在家穿的便服，或贴身的内衣：～服。～衣。#污秽，淫秽：猥～。～语。,slight#insult,0,1
龋,齿禹,0,qǔ,〔～齿〕①牙齿发生腐蚀的病变，在牙面上形成龋洞，逐渐扩大，最后可使牙齿全被破坏；②患这种病的牙。均亦称“蛀齿”；俗称“虫牙”。,tooth decay,0,2
嗒,口荅,0,tà#dā,〔～然〕形容懊丧的样子，如“～～若失”。,N/A,0,2
咀,口且,0,jǔ#zuǐ,含在嘴里细细玩味：～嚼。含英～华。,suck#chew#masticate,0,2
祺,礻其,0,qí,吉祥，安祥。,good luck#good fortune,0,2
锚,钅苗,0,máo,钢铁制的停船器具，用铁链连在船上，抛到水底，可以使船停稳：抛～。～位。～链。,anchor,0,2
匾,匚扁,0,biǎn,题字的横牌，挂在门或墙的上部：～额。横～。光荣～。#一种用竹篾编成的器具，圆形的下底，边框很浅，用来养蚕、盛粮食等。,flat,0,2
乓,丘丶,0,pāng,象声词，形容枪声、关门声、东西砸破声等。,used with ping for ping pong,0,2
萃,艹卒,1,cuì,草丛生，草茂盛的样子。#聚集：～集。～聚。荟～。出类拔～。#古同“悴”，憔悴。#姓。,dense#thick#close-set,0,2
贻,贝台,0,yí,赠给。#遗留，留下：～害。～误。～训。～笑大方。,give to#hand down#bequeath,0,2
揖,扌咠,0,yī,古代的拱手礼：作～。～让。～客。～别。,salute#bow#defer to,0,2
觑,虚见,0,qù#qū,看，偷看，窥探：～视。偷～。小～。面面相～。,peep at#watch#spy on,0,2
吝,文口,1,lìn,当用的财物舍不得用，过分爱惜：～惜。悭～。～啬。#耻辱：“得之不休，不获不～”。,stingy#miserly#parsimonious,0,2
憔,忄焦,0,qiáo,〔～悴〕①黄瘦，脸色不好，如“颜色～～，形容枯槁”。②指艰难困苦，如“民之～～于虐政”。#〔～虑〕苦思。,be worn-out#emaciated#haggard,0,2
羌,羊乚,1,qiāng,中国古代西部的民族：～笛。#中国少数民族，主要分布于四川省：～族。#文言助词，用在句首，无义：“～内恕己以量人兮，各兴心而嫉妒”。#姓。,Qiang nationality#surname,0,2
诲,讠每,0,huì,教导，明示：教～。～人不倦。,teach#instruct#encourage,0,2
砾,石乐,0,lì,小石，碎石：～石。砂～。瓦～。～漠。,gravel#pebbles,0,2
蠕,虫需,0,rú,像蚯蚓那样慢慢地爬动：～动。～～。～形动物。,eumenes polifomis#kind of wasp,0,2
肴,丿丶有,3,yáo,做熟的鱼肉等：～馔。菜～。酒～。美酒佳～。,cooked or prepared meat,0,3
撩,扌尞,0,liāo#liáo,掀起：～起衣襟。～起头发。#用手舀着洒水：先～水后扫地。,lift up#raise#leave,0,2
坍,土丹,0,tān,崖岸或建筑物或堆起的东西倒塌，从基部崩坏：～塌。～方。～台。,collapse#landslide,0,2
酥,酉禾,0,sū,酪，用牛羊奶制成的食物：～酪。～油。#松脆，多指食物：～脆。～糖。桃～。#柔腻松软：～胸。～松。#身体酸软无力：～软。～麻。,butter#flaky#crispy,0,2
袅,袅,0,niǎo,柔弱，缭绕：“不声如动吹，无风自～枝”。～娜。～～。,wavering gently,0,1
黝,黑幼,0,yǒu,黑色：～黑。,black,0,2
俾,亻卑,0,bǐ,使：～便考查。～众周知。,so that#in order that#cause,0,2
嫣,女焉,0,yān,容貌美好，多指笑容：～然一笑。姹紫～红。,charming#fascinating#gay,0,2
穹,穴弓,0,qióng,隆起：～隆。#天空：～苍。,high and vast#elevated#arched,0,2
秧,禾央,0,yāng,植物的幼苗：～苗。树～儿。～田。育～。插～。#某些植物的茎：瓜～。拉～。#某些初生的小动物：鱼～子。#栽植；畜养：～几棵树。他～了一池鱼。,rice seedlings,0,2
妊,女壬,0,rèn,怀孕：～娠。～妇。,conceive#be pregnant,0,2
溉,氵既,0,gài,浇灌：灌～。#洗涤。,water#irrigate#flood,0,2
鹊,昔鸟,0,què,指喜鹊鸟。民间传说听见它叫将有喜事来临。简称“鹊”，如“～报”，“～起”，“～桥”。,magpie#Pica species (various),0,2
聿,聿,7,yù,文言助词，无义，用于句首或句中。#〔～皇〕轻疾的样子，如“武骑～～”。#古代称笔，用笔写文章。,writing brush#pencil#thereupon,0,1
疙,疒乞,0,gē#yì,〔～瘩〕①皮肤上突起或肌肉上结成的病块；②小球形或块状的东西；③不易解决的问题；④不通畅或不爽利，如“这篇作文中的语句很～～”。,pimple#sore#boil,0,2
蘑,艹磨,0,mó,〔～菇〕①食用蕈类，如“口蘑”、“松蘑”等，特指“口蘑”；②借指纠缠。③借指拖延。,type of edible mushroom,0,2
睾,血幸,0,gāo,〔～丸〕雄性动物生殖器官的一部分，在阴囊内，形如卵，能产生精子。亦称“精巢”、“外肾”。,testicle,0,2
楷,木皆,0,kǎi#jiē,法式，模范：～模。～范。～则。～式。#汉字的一种书体：～书。正～。小～。～体。,model style of Chinese writing,0,2
酵,酉孝,0,jiào,有机物由于某些菌或酶而分解称“发酵”。能使有机物发酵的真菌称“酵母菌”。亦称“酵母”、“酿母”。,yeast#leaven,0,2
茹,艹如,0,rú,吃，引申为忍受：含辛～苦。～古涵今。#臭，败：“以～鱼去蝇，蝇愈至，不可禁”。#柔软：“柔～而寡断。#菜：“菜～有畦”。#根互相牵连的样子：“拔茅～”。,roots#vegetables#eat,0,2
锌,钅辛,0,xīn,一种金属元素，旧称“亚铅”或“倭铅”，蓝白色结晶，质脆：氧化～。～版。～钡白。,zinc,0,2
滇,氵真,0,diān,古族名，在今中国云南省东部滇池附近地区。#中国云南省的别称：～红。～剧。～池。,Yunnan province,0,2
辗,车展,0,zhǎn#niǎn,〔～转〕①身体翻来覆去地，如“～～反侧”；②间接，经过曲折，如“～～传说”。均亦作“展转”。,turn over#roll,0,2
纂,竹目大糸,1,zuǎn,搜集材料编书：～修。～绣。～辑。编～。#古代指红色或彩色丝带。#妇女梳在头后边的发髻：～儿。#古同“缵”，继承。,edit#compile#topknot,0,4
圭,土土,28,guī,古代帝王或诸侯在举行典礼时拿的一种玉器，上圆下方：～角。#古代测日影的器具：～表。～臬。#洁：～田。,jade pointed at top,0,2
幔,巾曼,0,màn,张在屋内的帐幕：～帐。～子。布～。窗～。帷～。,curtain#screen#tent,0,2
褒,褒,0,bāo,赞扬，夸奖，与“贬”相对：～奖。～扬。～贬。～义词。#衣襟宽大：～衣博带。#中国周代诸侯国名，在今陕西省勉县东南。亦称“有褒”。,praise#commend#honor,0,1
揍,扌奏,0,zòu,打：～他。#打碎：小心别把碗～了。,hit#beat#smash,0,2
诽,讠非,0,fěi,捏造事实，说别人坏话：～谤。～章。腹～心谤。,slander#vilify#condemn,0,2
倔,亻屈,0,jué#juè,顽强，固执：～强。#古同“崛”，突出。,stubborn#obstinate,0,2
腓,月非,0,féi,胫骨后的肉。亦称“腓肠肌”，俗称“腿肚子”。#覆庇，倚庇：“牛羊～字之。”#草木枯萎：“百卉具～。”,calf#avoid#be ill,0,2
颉,吉页,2,jié#xié#jiá,〔仓～〕上古人名，相传他创造文字。,fly upward#soar#contest,0,2
锄,钅助,0,chú,弄松土地及除草的工具：～头。铁～。#耪，弄松土地及除草：～草。～耘。～地。#铲除：～奸。,hoe#eradicate,0,2
嗔,口真,0,chēn,怒，生气：～怒。～喝。～诟。～斥。～睨。#对人不满，怪罪：～着。～怪。～责。,be angry at#scold#rebuke,0,2
磺,石黄,0,huáng,〔～胺〕①有机化合物，抗菌药；②“磺胺噻唑”、“磺胺脒”等磺胺类药物的总称。#〔硫～〕见“硫”。,sulphur#brimstone,0,2
攒,扌赞,0,zǎn#cuán,积聚，积蓄：～钱。积～。,save#hoard,0,2
瘩,疒荅,0,dá#da,〔～背〕中医指生在背部的痈。亦称“搭手”。,pimples,0,2
雳,雨历,0,lì,〔霹～〕见“霹”。,thunderclap#crashing thunder,0,2
吆,口幺,0,yāo,〔～喝〕喊叫。多用于大声叫卖东西和大声驱赶牲畜，如大声喊号子等。亦单用，义同，如“老姜头站在那里纹丝不动，～着号子。”,bawl#yell#shout,0,2
悚,忄束,0,sǒng,害怕，恐惧：毛骨～然。～～。～栗。～惧。,afraid#scared#frightened,0,2
墩,土敦,0,dūn,土堆：土～。#厚而粗的木头、石头等；座儿：桥～。菜～。树～。#量词，用于丛生的或几棵合在一起的植物：一～谷子。柳～。#古同“蹲”。,heap#mound#block of stone,0,2
彝,彑米糸廾,0,yí,古代盛酒的器具，亦泛指古代宗庙常用的祭器：～器。～鼎。～尊。#常理，法理：～训。～伦。～常。#中国少数民族，主要分布于四川省、云南省和贵州省。,yi#tripod#wine vessel,0,4
囱,丿囗夂,4,cōng,〔烟～〕炉灶出烟的通路。,chimney,0,3
逍,辶肖,0,xiāo,〔～遥〕自由自在，无拘无束，如“～～自在”。,ramble#stroll#jaunt,0,2
辄,车耳乚,0,zhé,总是，就：动～得咎。浅尝～止。#古代车箱两旁的板上向外翻出的部分，像耳下垂那样。#仗恃胡作非为：“甘受专～之罪”。,sides of chariot where weapons,0,3
桅,木危,0,wéi,竖立于船的甲板上的长杆，用来挂帆悬旗或兼做吊杆柱等：～杆。～樯。船～。,mast of ship,0,2
俨,亻严,0,yǎn,恭敬，庄重：～雅。～然。,grave#respectful#majestic,0,2
纶,纟仑,0,lún#guān,钓鱼用的线：垂～。#古代官吏系印用的青丝带。#现用作某些合成纤维的名称：锦～。涤～。,green silk thread or tassel,0,2
悸,忄季,0,jì,因害怕而自觉心跳：惊～。～栗。～动。心有余～。,fearful#apprehensive#perturbed,0,2
殃,歹央,0,yāng,祸害：灾～。遭～。城门失火，～及池鱼。#损害：祸国～民。,misfortune#disaster#calamity,0,2
帧,巾贞,0,zhēn,〔装～〕指书画、书刊的装潢设计。#量词，幅，用于字画等：一～油画。,picture#scroll#one of pair of,0,2
俐,亻利,0,lì,〔伶～〕见“伶”。,smooth#active#clever,0,2
绮,纟奇,0,qǐ,有文彩的丝织品：～罗。纨～。～襦纨绔。#美丽：～丽。～年。～霞。～语。～靡。,elegant#beautifu,0,2
袒,衤旦,0,tǎn,脱去上衣，露出身体的一部分：～露。#不公正地维护一方：～护。偏～。左～。,strip#lay bare#bared,0,2
籽,米子,0,zǐ,某些植物所结的种子：～实。～种。瓜～儿。,seed#pip#pit,0,2
孰,享丸,2,shú,谁，哪个：～是～非。#什么：是可忍，～不可忍？#用在表示抉择的反问语句中，有比较的意思：～与。～若。～何。#古同“熟”，程度深。,who? which? what? which one?,0,2
愫,忄素,0,sù,真实的心情，诚意：情～。,guileless#sincere#honest,0,2
拌,扌半,0,bàn#pàn,搅和：搅～。～和。～面。～菜。～草料。#口角：～嘴。,mix,0,2
橙,木登,0,chéng,常绿乔木或灌木，果实称“橙子”，多汁，品种很多，可食。皮可入药：～皮。～汁。甜～。#红和黄合成的颜色：～黄。,orange,0,2
暨,既旦,0,jì,和，及，与。#到，至：～今。#姓。,and#attain#reach,0,2
