HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
看,丿二丿目,0,kàn#kān,使视线接触人或物：～见。#观察，判断：～病。～好。#访问，拜望：～望。#照应，对待：～待。#想，以为：～法。#安排：～茶。～座。,look#see#examine,0,4
定,定,7,dìng,不动的，不变的：～价。～律。～论。～期。～型。～义。断～。#使不变动：决～。#平安，平靖：大局已～。#镇静，安稳：镇～。#预先约妥：～货。,decide#settle#fix,0,1
天,一大,10,tiān,在地面以上的高空：～空。#气候：～气。#季节，时节：冬～。#日：今～。#神仙居所：～上。#自然界：～时。～籁。#自然的：～然。～性。～才。,sky#heaven#god,0,2
分,八刀,31,fēn#fèn,区划开：～开。#由整体中取出或产生出一部分：～发。#由机构内独立出的部分：～会。#散，离：～离。#辨别：区～。#一半：春～。,divide#small unit of time.,0,2
还,辶不,0,huán#hái,回到原处或恢复原状：～乡。～俗。返老～童。#回报别人对自己的行动。～手。～击。#偿付：归～。偿～。～本。原物奉～。,still#yet#also,0,2
进,辶井,0,jìn,向前或向上移动、发展，与“退”相对：前～。上～。推～。～退。～取。#入，往里去：～见。#吃，喝：～食。#收入或买入：～货。#奉上，呈上：～言。,advance#make progress#enter,0,2
好,女子,1,hǎo#hào,优点多或使人满意的，与“坏”相对：～人。#身体康健，疾病消失，生活幸福：安～。#友爱，和睦：友～。#容易：～办。#表示应允：～！#很，甚：～快。,good#excellent#fine,0,2
小,小,24,xiǎo,不及一般或不及所比较的对象，与“大”相对：～雨。矮～。#范围窄，程度浅，性质不重要：～事。#时间短：～坐。#年幼的：～孩。#谦辞：～弟。,small#tiny#insignificant,0,1
部,咅阝,2,bù,全体中的一份：～分。外～。局～。全～。～位。#机关企业按业务范围分设的单位：外交～。～队。#具有统属关系：～下。#安置安排：～署。#量词。,part#division#section,0,2
其,其,22,qí#jī,第三人物代词：各得～所。莫名～妙。自食～果。#指示代词：～他。～次。#那里面的：～中。#连词。#助词。#词尾，在副词后：极～快乐。大概～。,his#her#its,0,1
些,此二,0,xiē#suò,表示不定的数量：一～。某～。～微。～许。#用在形容词后表示比较的程度：病轻～了。,little#few#rather,0,2
主,丶王,13,zhǔ,权力或财物的所有者，家庭的首脑：～人。#对事物的意见或认为应当如何处理，决定：～见。#对事物有决定权力：民～。#最重要的，最基本的：～要。,master#chief owner#host,0,2
样,木羊,0,yàng,形状：～子。模～。图～。同～。装模作～。#种类：花～。各种各～。#做标准的东西：～板。～本。～品。榜～。,shape#form#pattern,0,2
理,王里,0,lǐ,理字义较多，仅给出部分词语：心～。条～。事～。～由。～性。～智。～论。～解。～想。道～。～科，数～化。～财。管～。自～。修～。总～。～睬。答～。,reason#logic#manage,0,2
心,心,84,xīn,人和高等动物体内主管血液循环的器官：～脏。#中央，枢纽，主要的：中～。#习惯上指思想的器官和思想情况，感情等：～理。～魄。～地。衷～。～旷神怡。,heart#mind#intelligence,0,1
她,女也,0,tā#jiě,用于女性第三人称；亦用以代称国家，山河，旗帜等，表示敬爱。,she#her,0,2
本,本,5,běn,草木的根：～草。#事物的根源，与“末”相对：根～。#草的茎，树的干：草～植物。#中心的，主要的：～体。#原来：～来。#自己这方面的：～身。～分。,root#origin#source,0,1
前,丷一刖,6,qián,指空间，人面所向的一面，与“后”相对：～面。～进。#指时间，过去的，往日的，与“后”相对：以～。～车之鉴。#顺序在先的：～五名。#向前行进：勇往直～。,in front#forward#preceding,0,3
开,一廾,14,kāi,开字义较多，仅给出部分词语：～启。～诚布公。对～。～导。～窍。～采。～发。～拓。～车。～始。～宗明义。～创。～设。～发票。～销。～水。～运动会。躲～。,open#initiate#begin,0,2
但,亻旦,0,dàn,只，仅，只是：～愿如此。～凡。～分。#不过，可是：工作虽辛苦，～没有叫苦的。#徒然：“何～远走，亡匿于幕北苦寒无水草之地为？”#姓。,only#but#however,0,2
因,囗大,13,yīn,原故，原由，事物发生前已具备的条件：原～。～素。～果。病～。#理由：～为。～而。#依，顺着，沿袭：～此。～之。～循。～噎废食。陈陈相～。,cause#reason#by,0,2
只,口八,10,zhī#zhǐ,量词：一～鸡。#单独的，极少的：～身。片纸～字。,only#just#simply,0,2
从,人人,18,cóng#zòng,依顺：顺～。～善如流。#采取，按照：～优。#跟随：愿～其后。#跟随的人：仆～。#参与：～业。投笔～戎。#由，自：～古至今。#次要的：主～。,from#by#since,0,2
想,相心,0,xiǎng,动脑筋，思索：感～。思～。～象。#推测，认为：～必。～来。～当然。不堪设～。#希望，打算：理～。妄～。#怀念，惦记：～念。#像：云～衣裳花～容。,think#speculate#plan,0,2
实,宀头,0,shí,充满：～心。充～。虚～。#符合客观情况，真，真诚：～话。～惠。～际。～践。～情。～施。～事求是。名～相符。#植物结的果：果～。#富足：殷～。,real#true#honest,0,2
日,日,135,rì,离地球最近的恒星：～月星辰。#白天，与“夜”相对：～班。#天：今～。某一天：纪念～。#计算工作的时间单位：工作～。#时候：往～。#每天：～记。,sun#day#daytime,0,1
军,冖车,13,jūn,武装部队：～威。～服。行～。～功。～纪。～阀。异～突起。溃不成～。#军队的编制单位，是“师”的上一级。#泛指有组织的集体：劳动大～。,army#military#soldiers,0,2
軍,冖車,8,jūn,“军”的繁体字。,army#military#soldiers,0,2
者,耂日,24,zhě,用在名词、动词、形容词、数词、词组后，并与其相结合，指人、指事、指物、指时等：读～。来～。#助词，表示语气停顿并构成判断句的句式：陈胜～，阳城人也。,that which#he who#those who,0,2
意,音心,5,yì,心思：～思。～见。～义。#心愿，愿望：～愿。～向。好～。#人或事物流露的情态：春～。诗～。惬～。情～。～境。#料想，猜想：～料。～想。～外。,thought#idea#opinion,0,2
无,无,6,wú,没有，与“有”相对；不：～辜。～偿。～从。～度。～端。～方。～非。～动于衷。～所适从。,negative#no#not,0,1
無,丿一卌一灬,2,wú,“无”的繁体字。,negative#no#not,0,5
力,力,51,lì,人和动物筋肉的效能：～气。～量。#一切事物的效能：视～。生产～。#物理学上指物体之间相互作用，引起运动加速或形变：～学。#用极大的力量：尽～。,power#capability#influence,0,1
它,宀匕,15,tā,代词，称人以外的事物：～们。其～。,it#other,0,2
与,与,3,yǔ#yù#yú,和，跟：对～错。生死～共。#给：赠～。～人方便。#交往，友好：相～。～国。#〔～其〕比较连词，常跟“不如”、“宁可”连用。#赞助，赞许：～人为善。,and#with#to,0,1
與,與,4,yǔ#yù#yú,“与”的繁体字。,and#with#to,0,1
长,长,8,cháng#zhǎng,两端的距离：～度。#长度大，与“短”相对，指空间，亦指时间：～短。～空。～夜。#优点，专精的技能：特～。各有所～。#对某事做得特别好：～于写作。,long#length#excel in,0,1
長,長,4,cháng#zhǎng,“长”的繁体字。,long#length#excel in,0,1
把,扌巴,1,bǎ#bà,拿，抓住：～玩。#控制，掌握：～握。#看守：～守。#自行车、手推车等的手柄：车～。#独揽：～持。#介词，义为拿，处置，致使：～他怎样。#量词。,hold#take#guard,0,2
机,木几,0,jī,事物发生的枢纽：生～。危～。#成败关键、保密性质的：～密。#合宜的时候：～会。#装置和设备：～器。#灵活：～智。#飞机。,desk#machine#moment,0,2
十,十,63,shí,数名，九加一。#表示多、久：～室九空。#表示达到顶点：～足。～成。,ten#tenth#complete,0,1
民,民,10,mín,以劳动群众为主体的社会基本成员：人～。国～。#指人或人群：居～。～族。#劳动大众的，非官方的：～间。#从事不同职业的人：农～。#非军事的：～航。,people#subjects#citizens,0,1
第,竹弔丿,0,dì,次序：～一。次～。等～。#科举考试及格的等次：科～。及～。落～。#封建社会官僚贵族的大宅子：宅～。府～。门～。进士～。,sequence#number#grade,0,3
公,八厶,8,gōng,正直无私，为大家利益：～正。#共同的，大家承认的：～理。#国家，社会，大众：～共。～众。～民。#让大家知道：～开。#雄性的：～母。,fair#equitable#public,0,2
此,止匕,18,cǐ,这，这个，与“彼”相对：～间。～后。～生。长～以往。从～。因～。#这里，这儿：到～为止。,this#these#in this case,0,2
已,已,0,yǐ,止，罢了：学不可以～。死而后～。#表示过去：～经。事～至此。～往。业～。#后来，过了一些时间，不多时：～忽不见。#太，过：不为～甚。#古同“以”。,already#finished#stop,0,1
工,工,48,gōng,经济学、哲学词汇：～人。～业。#从事体力或脑力劳动：～作。#技术和技术修养：～夫。#细致，精巧：～整。#善于，长于：～于心计。,labor#work#worker,0,1
使,亻吏,0,shǐ,用：～用。～劲。～役。～力。～钱。#派，差谴：～唤。～命。～女。#让，令，叫：迫～。#假若：假～。即～。#奉命办事的人：～者。大～。公～。～馆。,cause#send on a mission#order,0,2
情,忄青,0,qíng,外界事物所引起的心理状态：感～。～绪。性～。#专指男女相爱的心理状态及有关的事物：爱～。#对异性的欲望，性欲：～欲。#私意：说～。#状况：事～。,feeling#sentiment#emotion,0,2
明,日月,2,míng,亮，与“暗”相对：～亮。#清楚：～白。#懂得，了解：不～事理。#公开，不隐蔽：～说。#睿智：～君。#视觉，眼力：失～。#次：～日。#中国朝代名。,bright#light#brilliant,0,2
性,忄生,0,xìng,人或事物的本身所具有的能力、作用等：～格。～命。#性质，思想、感情等方面的表现：开放～。#男女或雌雄的特质：～别。#有关生物生殖的：～欲。～爱。,nature#character#sex,0,2
知,矢口,6,zhī#zhì,晓得，明了：～道。温故～新。～难而进。#使知道：通～。#学识，学问：求～。无～。#主管：～府。#彼此了解：～音。#彼此了解、交好的人：故～。,know#perceive#comprehend,0,2
全,人王,10,quán,完备，齐备，完整，不缺少：齐～。完～。智勇双～。#整个，遍：～部。～国。～神贯注。～心～意。#都：代表～来了。#使不受损伤：保～。#姓。,maintain#keep whole or intact,0,2
三,一二,17,sān,数名，二加一：～维空间。～部曲。～国。#表示多次或多数：～思而行。～缄其口。,three,0,2
